input	target
@USER @USER Why does every gathering of liberals look like something I wish I had not seen?	0
@USER @USER In poker I would definitely move all in on this Woodward bluff.  When did Bob become a shill.  Hope the C_I pays well Bobby.	0
@USER @USER @USER I know you're not this naive. Those people make up a very small % of Trump supporters. Do all Liberals support terrorist and (groups such as Antifa?	1
@USER @USER She is in our prayers.	0
@USER @USER @USER @USER He is great! Awesome songs... I love walk on by and what it is best!	0
"@USER @USER The ol' Guilty because we liberals say so..."" ploy."""	0
@USER Packing 💼🕶👢 for TX 🤠👍🏼⚽️♥️- hope you are well🤗 #almostcousins♥️	0
@USER @USER @USER Buckwheat in the 1930's. Pretty sure he and Eddie aren't promoting white supremeists. #MAGA URL	0
@USER Many products hit the shelves in the US first. Canada is not that big of a economy. In fact it is 10th in the world for all you liberals thinking that somehow we could strong arm the USA.	0
@USER Liberals live in fantasy land. URL	0
@USER @USER 👏👏👍👍👍 Exactly!	0
@USER still spewing your lies.....you are not good enuf to lick our President's boot straps... what about the deaths in Chicago...u r a liar and a manipulator...go vack to indonesia barry	1
@USER This makes me proud to be a resident of the City of Atlanta! Good to see places in Georgia still have character and integrity to do what's right and just amidst a state who can never seem to get that part together.	0
@USER @USER @USER withdraw. Trump has a whole list of conservatives to pick from.	0
@USER My daughter is working toward being a teacher. Tell your hubby to support gun control so she gets that chance and isn’t shot at school.	0
@USER Hollywood is packed with pedophiles	1
@USER @USER a nice cartoon.	0
@USER Looks like ANTIFA thugs.	1
@USER She does not remember? Of course she doesn’t! She is making it up as she goes and with the “ help” of her therapist and all the others that believes her BS story. Maybe if she gets hypnotized she will miraculously remember “ more details” #Freakingliars liberals obstructionist🤬	0
@USER @USER So What? We all have concerns on gun control but one man is not going to change our problem. It is much deeper than that.	0
@USER 😂😂 you are too funny!	0
@USER @USER I guess he needs to learn gun control.	0
Some reading for #MAGA- time to wake up folks  URL	0
@USER @USER Yes you are. you’re just too blind to realize it	1
@USER HYPOCRITE!! You run a commercial about ur support for gun control &amp; protecting kids showing ur kids. Really! U support ABORTION. What’s the difference in that and a gun? They BOTH KILL! @USER @USER @USER @USER @USER	1
@USER @USER Liberals- rule #1 if liberal man accused of sexual assault or rape : viciously attack accuser( Keith Ellison/ Bill Clinton                    rule #2. If Republican man accused- viciously attack man and praise accuser.	0
@USER @USER Is there an aluminum pole anywhere to be seen?	0
@USER She isn't a radical but you are so far right you are Kemp. You refused to pay any attention to what the people of Georgia want and need. That will be your undoing.	0
@USER Liberals always find a new low to achieve	0
@USER @USER @USER Bwahahahahaha....she is a liar. Let her bring a case with the State of MD then. I would love to see it and see her bankrupted by Kavanaugh's attorney in a libel suit.	1
@USER URL It's a guy. Guy looks like a Sheila. #QANON #MAGA #GREATAWAKENING -Crocodile Dundee URL	0
@USER Why cause you are unwilling to look at the science?  URL	0
@USER Seriously you are so freaking Hot!!	0
@USER @USER @USER He didn't pay a money for his accounts and stuff.  So he is now a stranger.  And everything it is because of his obsession for Sonic.  I hope that he dies there.	1
@USER @USER @USER @USER @USER @USER so stronger gun control is better than leaving guns easy to access. Gun control isn't a gun ban 💀	0
@USER YOU ARE TOO NICE ILY💞💞	0
@USER bro your twinsie resemblance to my brother in UNCANNY! He is 30 years old now - maybe you are long lost bros? Which would make US BROS! LOL URL	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Lies on top of lies that is the antifa and democrats way	0
#osho #quotes via @USER Listen to your being. It is continuously giving you hints. It is a still, small voice. It does not shout at you, that is true. And if you are a little silent you will start feeling your way. Be the person you are. Never try… URL URL	0
@USER Trudeau claiming what conservatives did or didn't do instead of what he was to busy to do for the last 3 years #TrudeauMustGo #liberalsmustgo #GoneIn2019	0
@USER @USER @USER Well you may be right. Always the optimist I'm going to carry on with my (possibly deranged) mission to believe we can achieve a united front.	0
@USER @USER @USER . #Hypocrisy to see so called conservatives call out supposed sexual deviancy when just about every sexual political scandal in recent memory involves Republicans and it's really #homophobia #RoyMoore #Kavanaugh #JimJordan #MarkFoley #BobPackwood #ClarenceThomas #DonaldTrump	1
@USER Here she is	0
@USER She is with stormy	0
@USER FOR THE KOCHS AND THE TRUMPS AND THE POLLUTORS.. BUT NOT FOR WE THE PEOPLE OR STUDENTS OR TEACHERS AND LETS NOT EVEN TALK ABOUT THE THINGS THAT A MAJORITY OF THE AMERICAN PEOPLE EXPECT LIKE HEALTHCARE &amp; GUN CONTROL! NOTHING BUT $$ FOR @USER AND DONORS!	1
@USER Yoo our dogs should totally fuck	1
@USER Yea I been in a shitty mood too an the rain ain’t making it better	0
Did you want or need a job #Maga #MAGARallyRules #MAGA2020 #TrumpSupporters #WomenForTrump URL	0
@USER Democrats continually prove how crazy they are... URL	1
@USER @USER Sure hope Maxi marches with Antifa. She will cover her head	0
@USER @USER I’m afraid you are right.	0
@USER Y’all need to know that she is human being and knew Mac for so many years and was in a relationship with him. She’s grieving. She doesn’t have post something to prove that. AND IT IS NOT HER FAULT HE DIED LIKE DAMN! Stop blaming this poor girl. His addiction killed him.	1
@USER @USER @USER please don't kill me. antifa on the other hand...	1
@USER He’s there to talk about bail money 😂😂😂😂😂😂😂 Well at least he got a hell of a meal out of the trip into town.	0
@USER Colin is a dick would sell out just as quick!	1
@USER If you want more shooting just call G Soros!  He’s always happy to oblige with that! He pays antifa well	0
@USER @USER @USER I agree.   There are obese people trying to change the way they are.  Good luck to them.  Not lazy. Tess_Holliday is doing the opposite.  She is actively promoting that its good and beautiful to be obese.  Its not.  And its down to being lazy and greedy.  Simple science	1
@USER you are here!	0
19 professors and students murdered in Connecticut with .223 Bushmaster XM15-E2S rifle. The NRA blames gun control laws.	1
Remember. Just like we tried to tell you. You don't hear from Roy Moore's accusers anymore. They're running the same play. #ConfirmKavanaugh #MAGA #ChristineBlaseyFord	0
@USER Me too.  I’m glad he is back	0
Accept me for who I am. I understand it's not easy. But neither is loving someone who only tries to  correct your flaws that only make you so incredibly unique. 👑	0
@USER @USER Policies like gun control? The democrats have and @USER has.	0
@USER yes bitch 💖💓	1
@USER you are the best president ever	0
@USER your just one big sore on the conservatives back side.	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I think you are being abnormal	1
Ain’t getting no pussy huh? URL	1
@USER #StrataData #AI #data #hairball: @USER TDavis touring the application of #Cognitive and #machinelearning techniques to speed #Governance of #data URL	1
@USER Today history is just repeating itself. Liberals have got away with these disgusting tricks for too long! They need to be stopped as this is deeply damaging our country. Democrats should be more concerned about our country than power and money. (I know that will NEVER happen)	0
@USER I don't entertain shit.	1
"@USER My thoughts and prayers are with the families.  Random mass shootings, which plague our nation, are not normal and we as a country can't allow them to be normalized,"" Craley said"",   The truth is these mass shootings are becoming too ""normal"".  Gun control would certainly help."""	1
@USER love .. she is fabulous 🐈💜💜💜💜💜💜💜💜💜💜💜💖	0
The #Left thanks to #LisaPage is realizing that the #MuellerInvestigation is doomed but that’s not news to us. ANY investigation of an innocent person is doomed from the start. #maga	0
@USER You guys have featured splendidrainco's etsy page and she is being censored by etsy now. You can't find her site through the search engine you have to have a direct link. And according to her instagram post they have been basically leaving her out to dry.	0
@USER @USER @USER @USER @USER @USER @USER The FBI has already done 6 investigations on Kavanough. How many more do you whining liberals need? 🙄	0
After going through the system i cameto know that being a criminal (illegal) is most reputed and easy job rather than a simple (illegal) person.	1
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Hope she is ok.	0
@USER So what is the Conservatives policy on antisemitism? Does it quote the international recognition if not why aren’t you reporting on this with as much vigour as you have done with Labour????	0
@USER you are LITERALLY so woke and sexy	0
"@USER @USER Overton window shifted a while ago. AP is leftist, wsj maybe centrist  And lol that CNN isn't hyper-partisan"" but fox is? Ok  Have you denounced your extremists, AntiFA, Keith Ellison, Linda Sarsour, Ocasio yet?  I've denounced ones on the right..."""	0
@USER Leave it to CBC to turn a bad story for the libs into a critical piece on the conservatives	0
@USER @USER Google has evolved into something that belongs out of Stalinist Russia.   The Goolag needs to be decommissioned.	0
@USER You’re not a proper country girl if a bit of mud puts you off!	1
@USER @USER @USER Stop giving me quotes start giving me facts that prove gun control will work	0
9/11 and the War on Terror: Israel's History of False Flag Operations against the U.S.A.     #FalseFlags and #Propaganda are the Zionists weapon of choice. Highly effective @ getting public to back their agenda’s. #Palestine #NWO #ChosenPeople  URL	0
@USER and @USER states that she went to save herself from online abuse. If she wants to live in peace then why she is not taking case back and asking relatives to attend hearing.  Contradictory statements and action.	0
@USER @USER @USER I have never understood why there are not more officers visibly supporting tighter gun control. It makes their job so much more dangerous with all these random people w/ their guns.	0
@USER I bet the first ones she calls when she is being robbed is those very same police😡‼️. People are freaking stupid ... 🙄	1
A new bill aims to send masked Antifa activists to jail for 15 years @USER URL	0
@USER &gt;New People's Army from the Philippines is being helped by Antifa in the USA and vice versa I suggest you send this to the Philippine government contingent. They need to know about this!	0
@USER Risking his own ass lol	1
@USER @USER @USER I thought conservatives were the ones trying to rewrite history? 🤔 URL	0
@USER Oh well yes goes without saying you are the ultimate Superman 😁👍👏	0
@USER And you are? Lol	0
@USER Croatian President's bikini photos worlds hottest president ever URL	0
#QAnon @USER #MAGA   For those who think nothing is happening! URL	1
@USER She is a war criminal. By the Nuremberg standard Clinton and every other SoS and Pres should be behind bars.	0
@USER Awesome 👏🏻👏🏻👏🏻👏🏻. Of course the left will think differently but who cares. This is great!!!	0
@USER About 20 of them Motherfuckers ‼️	1
@USER I like how her boobs have the same mass as her belly XD	1
@USER @USER Y’all are the best	0
@USER Crazy thing is people naming Big and PAC as greats but forgetting the true underground rap legends like L. I still play his shit	1
@USER Hey I don’t actually really care about celebs. I’m 9/10 out of the loop with celeb news because I don’t have any interest in western celebs.  If anything you should re’evaluate how you view celebs since you are the one placing a personal vendetta against someone for something-	0
@USER this girl called herself tryna call me ugly. i had to show her how ugly she is.	1
@USER Just like the gun control poster child David Hogge. You don't hear from him anymore. One and done	0
@USER Excommunicate the guy. That’ll teach ‘Em.	1
"@USER Only conjecture but with so high undecided it could be some fear the militant parts of the left like ANTIFA who promise to punish those who do not vote in the approved manner. There was s report that voter rolls were being reviewed for GOP to be visited """""	0
@USER Not sure. Just woke up wanting to fuck some chuds up  Might be the antifa super soldier serum or something idk	1
@USER He is so funny 😂😂😂	0
@USER @USER Oh nooooos!!!   I hope you are safe during this storm!!	0
@USER He is why I stopped watching football	0
@USER All this tape proves is that @USER was always out to get a paycheck and to sabotage the one person who actually gave her a chance.  Who tape records conversations in the White House??? Only someone looking to sell it later. She’s a snake	1
@USER They embraced Antifa. Career killer.	1
@USER @USER I'm sure you are not. You just thought it was free 😁 there's nothing wrong with that 😂	0
@USER  Most Americans find any of this hard to believe...30 plus yrs later.  Another Justice Thomas hit job by the media and liberals?	0
@USER Because of the Mayor	0
@USER @USER @USER @USER There trying that now and it's not working. He is still getting everything done.	0
@USER @USER As Fat as he is President Trump will be the last President Moore Ever See's	0
Should of known she wouldnt show up! Only accuse is in the dems playbook! When will people start understanding that the radical have taken over the party!  #ConfirmKavanaugh #MAGA #WednesdayWisdom #FortTrump #1linewed	1
@USER He is so kidding!	0
@USER Why is Antifa upset w/ “prof.” Blasé-Ford? Antifa is the group that harrasses &amp; threatens people at their homes.	1
#ReleaseTheCures #DeclassifyFISA 🇺🇸 #ItsTime #LockThemAllUp #WWG1WGA 🇺🇸 #GreatAwakening @USER #Winning #QAnon #MAGA Guess Who! URL #BitChute	0
@USER @USER There is help for your mental illness.  Good grief you liberals are seriously disturbed.	1
@USER have you ever served this country other than be elected? Because that is not the same!  Have you ever put your life on the line for others?!  I am one of the Dregs Of Society! #DregsOfSociety 🇺🇸#MAGA	0
@USER What’s next... -Mr. Hooper is retconned as a pedophile -Grover becomes trans -Barkley is neutered -Big Bird is put on meds to stop seeing Snuffy -Oscar shoots heroin -Elmo now member of the church of satan -Telly joins ANTIFA -Zoe has abortion -Kermit labeled hate symbol by SPLC URL	0
@USER @USER POS still at it URL	0
@USER @USER @USER And how 500 pound females do you know hm.	0
@USER @USER @USER @USER Kick the absolute shite out of the car.	1
@USER yup fooled antifa threw big ol' fire pit rocks at mah truck called the cops said them commies dunnit neat lawyer trick huh URL	1
@USER @USER @USER They are both governmental issues. This lady is mad that the government uses a portion of taxes to support planned parenthood which offers abortions. I said if she is really pro life then stop supporting the taxes that help Israel kill Palestinians. Kills school children	1
@USER @USER Same Kamau Bell who spoke to ANTIFA and helped incite them to riot a year ago?	0
@USER @USER @USER @USER What’s the difference between Antifa and the brown shirts? Nothing URL	0
@USER @USER She is a blind fool make America great again America first Americans understand the difference we the people voted for Donald J Trump the ex 🤡 Obama policies was a complete failure let's seat back and enjoy the 🤡 show starting Barack Obama	1
@USER Why did the NDP and Liberals not give Doug Ford a standing ovation?  Cause it was “not-worth-standing” 😀	0
@USER @USER @USER What she is accusing him of is a sex crime felony with no statute of limitations in Maryland. That means it is under the jurisdiction of the local authorities. FBI only gets involved if there is an issue with crossing state lines. They do not have legal authority to investigate.	0
@USER Doesn’t “myth” mean something that isn’t true? 🤔... hmmmm .. hollyweird liberals should stick to make believe world.. #dummies 👇 URL	1
@USER what is this? We don’t want your $2 tacos we want fucking gun control. Are you seriously trying to capitalize off this tragedy? URL	1
@USER @USER Brilliant effort great step count great that you are targeting more next week 👍	0
@USER IM GOING HARDCORE BITCH	1
@USER Thank you Sir i am a R.E developer in Boston the market is on FIRE  God Bless and we are ALL behind you #MAGA	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed and retweeted. I follow all Trump supporters.	0
@USER @USER We are ready whenever you are 🤷🏽	0
@USER Law enforcement gets to carry around semi-automatic guns and make judgment calls about who lives and who dies based solely on race and appearance.  Gun control arguments NEVER EVER take into account police brutality.	0
2. The reality is that Alleslev’s crossing over (more like double Xing) to the CPC is good news for the Liberals as anyone who seriously believes that the cons are a better party has questionable intelligence &amp; judgement and the Liberals are better off without her @USER	0
@USER @USER An Antifa apologist journo is now looking for a job that's all you need to know.	0
@USER Thank you very much. She is a great performer Tottori prefectural residents take proud in.	0
@USER @USER @USER @USER @USER @USER @USER Any critique of Bernie’s objectively horrible record on gun control is met with   “He’s from a rural state” or “He has a D- from the NRA”  As if I give a fuck why his record is horrible.   And then there’s this stupid shit: URL	1
"@USER @USER @USER @USER Nothing abusive should ever be done to anyone!  Including the women and people of this country she is putting under horrible stress worrying about what she is going to do.  This should have been an easy NO"" from her if she is who she says she is.  And I agree with you Gabby!"""	0
@USER @USER Brought at different times and no space on any coach. She is so red and blue that she said she’d travel next to a ‘random’ of she had to!!	0
@USER @USER Quite possible. You are very right to be skeptical. But one has to start somewhere !	1
@USER We conservatives love him no matter how stupid it makes us /him look! YEE HAW! URL	1
@USER @USER @USER Over here gun control is unconstitutional so the 2A protects us shooters that just want to shoot down range.	0
"@USER @USER @USER I purposefully had my damsel"" be a bit of a badass. She is saved by the protag, saved by the third party member, and sticks her neck out to save their hind quarters just as often (if not more!). Sure, she may have ulterior motives (*evil laugh*) but she's still pretty kickass!"""	1
Antifa Caught Off Guard After Getting Confronted By The Last Person They Ever Wanted To Answer Too URL	0
"@USER @USER I wouldn't say cowardly. She is brave! I mean He"". :)"""	0
@USER You are a beautiful model &amp; HWs were jealous of that. I agree that Kendall should stay how she is &amp; not have all that phony plastic surgery like her sisters. I don't event recognize Khloe anymore. Kylie needs to stop w/fillers. She's pretty on her own &amp; not overdue it	0
@USER @USER If we don’t “get rid” of moonbeam he will sink our state into the pacific!! #2020MAGA	0
@USER @USER @USER @USER Liberals have compassion ONLY for non Americans.	0
@USER @USER @USER @USER @USER Amazing how they can consistently manage to piss off both progressives and conservatives by being so arrogantly misguided--often in same segments.	1
"@USER @USER @USER &amp; May need to end the stigma"" of living in B&amp;B by allowing councils to build more AFFORDABLE social housing."""	0
@USER Gun control kills 3 more people.	1
@USER Chelsea you like all your me too hysterical radicals ignore facts. you exercise fear mongering. science has helped make sure women and their unborn are safer today. The morning after pill is a great advance and the sanctity of life is more ensured for both mom and baby.	0
@USER Good riddance!	0
@USER Why do liberals always say they're moving to Canada if they don't get what they want?  They never seem to offer to move to Venezuela or Greece or other failed liberal countries.	0
@USER Never had any intentions of showing up. Only intended to delay and testify by way of DNC hit woman lawyer and media.  Time to vote on Kavanaugh and any Republican not confirming as Justice should be remembered by all conservatives at the polls.	0
*Finally at my sister's apartaments* Instant reminder that she is ungrateful brat and i'm much more happy without seeing her	1
@USER It’s a shame you are so damned unattractive...	1
The #Child-#Rape Assembly Line URL via @USER We cannot #trust a #Catholic #priest. We cannot trust a #Jewish #rabbi - Why do we let these #people have #secrets?  #GreatAwakening #MAGA @USER	1
@USER @USER @USER @USER @USER @USER @USER @USER Already many common sense laws on the books. Common sense also calls for holding people accountable when they fail miserably like they did at Parkland. Left always wants to blame gun owners just to push for more gun control rather than being honest about it.	0
@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy	0
@USER honestly ya when i talk about my opinions on gun control ppl are taken aback. 😂	0
Turns out Cody 'Sanjuro' Wilson fancies himself as a samurai.    probably collects fake swords  #RiceKing #usefulidiot #QAnon  #MAGA URL	0
@USER ........thank God it was not a mosque !!	0
#DidYouKnow #Texas conservatives are working to boot #HelenKeller from textbooks? #DoYouKnow why?  Learn more about how to stop this at URL #TXBOE #TXEd #Education  #TheMoreYouKnow #TuesdayThoughts  'Keller... URL	0
STOCKS RECORD HIGH   URL   #MAGA	0
@USER The fact that she is disrespectful and blatantly rude has nothing to do with her situation🤪	1
3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.	0
@USER @USER Looks like you are the one 😜 Some simple things needn't be explained	0
@USER @USER @USER @USER @USER Did you forget about the 7 years of war previous? Or perhaps the economic crash of 2008 and all of it's consequences? Maybe you need to be reminded of all the stonewalling by Congress on any attempts of gun control by the Obama administration?	0
@USER He is short and felt I should bow down at the mention of engineer..  😑😒	0
@USER Sounds like he joined #Antifa - Gov. @USER  of #WA state recently took anti- #POLICE stance won't sign certificates recognizing top 20  law enforcement officers for #Police #Combat competition excellence  #ThinBlueLine #MAGA #KAG #BlueLivesMatter #LawEnforcement #2A @USER	0
@USER Weird California has all the best gun control	0
@USER Lmao that's awesome	0
@USER It should work just fine now! URL	0
@USER Innocent until proven guilty!         I think time has run out on this! And personnel I think she is lying! And someone is paying her to lie! JMO	1
🛑 Truthfeed News 🛑 👉 'Dems Scramble and Suddenly Hit the BRAKES on Kavanaugh’s Accuser' #MAGA🇺🇸#2A #Prolife URL	0
@USER Ontario Liberal MP Leona Alleslev is using you to jump the queue.  The faithful back benchers are probably FURIOUS and should join the LIBERALS in protest.	0
@USER @USER @USER These people in the MSM are DISGUSTING 🇺🇸🇺🇸#MAGA	0
@USER She is Real Rocky 🔥🔥🔥 Oh My God !!	0
@USER @USER @USER @USER His promises should be taken with a pinch of salt. @USER often lies and spreads misinformation. If elected I doubt you would see ANY promise honored. He is not an honorable Guy.	0
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER This is the PIC MSM showed us in 1999 for #JFKJR plane wreckage also- FAKE!!!    Here is a video, showing another pic MSM showed of #JFKJr, even MORE FAKE!!! URL  Article:  Evidence Of A Cover up &amp; Why official story is in DOUBT!""  URL URL"	0
@USER Antifa is a terrorist organization	1
@USER I don't think he needs a qualification.  But good  on you. I am impressed.  You are an inspiration to you younger peers.	0
@USER Maybe she is just supporting a pill that aborts all computer emails. Seems to have worked for her pretty well. Coming to stores soon the Bleachbit Pill. If you buy now they will include a free sledge hammer as well.	0
@USER I’m just seeing this	0
@USER @USER @USER Thank you my lovely! You are beautiful too 💜💜	0
@USER He needs to go just as Joe P did	0
@USER Any time liberals think their going to get a win they tune into their head cheerleader. Then they realize the latest bombshell is once again nothing and go back to their miserable existence eating chunky monkey (not racist) and watching Netflix	1
@USER Beer can red cabbage also owns the conservatives URL	0
@USER Zimmerman belongs in prison for killing Travon Martin.  Florida needs to change its gun control laws.	1
"@USER She is never been tortured"" She was ans still be a crminal, terrorist, must be in jail!"""	0
@USER Didn’t know he was still alive.	0
@USER Doesn't surprise me. Texans hate Liberals w/ Soros backing.	1
"@USER I mean, that occasionally works when arguing with liberals or centrists, if you can get them to give up the idea that Socialism=Authoritarianism,"" the problem is that conservatives have long since given up the idea that administrative measures are ever the right thing to do."""	0
@USER you are the best player in world right now is just matter of time before the world realizes who you are.	0
#Rape Culture: Prominent Conservatives Rush to the Defense of Brett Kavanaugh in Wake of Sexual Assault Allegation @USER URL	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Haven’t seen that one but I do remember the drops bout the saudis &amp; to me that was one of the biggest things that nobody talks bout. The saudis owned our politicians so when they were arrested &amp; money seized that was huge cause they also fund BLM Antifa &amp; other anti American orgs	0
@USER @USER 🤣🤣😂😂😂😂 He is a communist fool!!!!	1
"@USER @USER @USER Arms"" WERE/ARE TO BE REGULATED BY LAW—those regulations aimed at near-universal armament/training with contemporary military grade design ""Arms"" personally owned/possessed &amp; kept in the HOME—by ""the people"" #2A that is CONSTITUTIONAL ""gun control""."""	0
@USER whoaaa that's amazing i wanna see her now 😝   also you are a kinky lil slut but ily	1
@USER @USER @USER @USER Because the National Front of BNP always did well in rural Somerset or In cities like Chester. Just as most Antifa recruits come from places like Burnley or Halifax. Is there any reality you people don't invert?	0
@USER Well she supported $7 co payment for Dr visits when President of AMA thats an indication . She is Ambitious thats all .	0
@USER @USER Let us all return to bouncer school.	0
@USER @USER IT WAS OFF THE PLATFORM HOW IS THIS OK!?!??	0
13 teachers and students blasted in Wisconsin with 12-gauge Winchester 1300 pump-action shotgun. The NRA blames gun control laws.	0
@USER I hope so. That Tana girl fucks anything lol	1
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I follow all these MAGA Patriots 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸	1
@USER So black people need white liberals like you to keep them from turning to violence based on things they perceive to be offensive?	0
@USER I know they be fired up thinking u got a hammer n your pants from how u walk n find out u got a coochie lol	1
@USER Feinstein's gun control policies would deliver even more school shooting victims.	0
@USER Me and bronbron are cool now. It's ok if he eat ass #lakergang	1
@USER Throw Antifa in there too!	0
